lat,lon,elev_m
-18.0,-81.2,-4415.0
-18.0,-81.1,-4503.0
-18.0,-81.0,-4483.0
-18.0,-80.9,-4404.0
-18.0,-80.8,-4367.0
-18.0,-80.7,-4363.0
-18.0,-80.6,-4399.0
-18.0,-80.5,-4439.0
-18.0,-80.4,-4411.0
-18.0,-80.3,-4264.0
-18.0,-80.2,-4146.0
-18.0,-80.1,-4001.0
-18.0,-80.0,-3753.0
-18.0,-79.9,-3650.0
-18.0,-79.8,-3425.0
-18.0,-79.7,-3420.0
-18.0,-79.6,-3321.0
-18.0,-79.5,-3205.0
-18.0,-79.4,-3120.0
-18.0,-79.3,-2977.0
-18.0,-79.2,-2876.0
-18.0,-79.1,-2977.0
-18.0,-79.0,-2887.0
-18.0,-78.9,-2674.0
-18.0,-78.8,-2749.0
-18.0,-78.7,-3021.0
-18.0,-78.6,-3345.0
-18.0,-78.5,-3503.0
-18.0,-78.4,-3511.0
-18.0,-78.3,-2894.0
-18.0,-78.2,-3024.0
-18.0,-78.1,-3789.0
-18.0,-78.0,-4082.0
-18.0,-77.9,-4174.0
-18.0,-77.8,-4146.0
-18.0,-77.7,-4225.0
-18.0,-77.6,-4153.0
-18.0,-77.5,-4237.0
-18.0,-77.4,-4197.0
-18.0,-77.3,-4165.0
-18.0,-77.2,-4187.0
-18.0,-77.1,-4187.0
-18.0,-77.0,-4144.0
-18.0,-76.9,-4423.0
-18.0,-76.8,-4159.0
-18.0,-76.7,-4156.0
-18.0,-76.6,-4355.0
-18.0,-76.5,-4381.0
-18.0,-76.4,-4489.0
-18.0,-76.3,-4358.0
-18.0,-76.2,-4347.0
-18.0,-76.1,-4383.0
-18.0,-76.0,-4496.0
-18.0,-75.9,-4530.0
-18.0,-75.8,-4627.0
-18.0,-75.7,-4389.0
-18.0,-75.6,-4557.0
-18.0,-75.5,-4723.0
-18.0,-75.4,-4501.0
-18.0,-75.3,-4419.0
-18.0,-75.2,-4387.0
-18.0,-75.1,-4426.0
-18.0,-75.0,-4142.0
-18.0,-74.9,-3987.0
-18.0,-74.8,-4503.0
-18.0,-74.7,-4344.0
-18.0,-74.6,-4242.0
-18.0,-74.5,-4214.0
-18.0,-74.4,-4180.0
-18.0,-74.3,-4163.0
-18.0,-74.2,-4734.0
-18.0,-74.1,-4712.0
-18.0,-74.0,-4130.0
-18.0,-73.9,-4147.0
-18.0,-73.8,-3885.0
-18.0,-73.7,-4213.0
-18.0,-73.6,-4440.0
-18.0,-73.5,-4555.0
-18.0,-73.4,-4765.0
-18.0,-73.3,-5271.0
-18.0,-73.2,-5483.0
-18.0,-73.1,-6081.0
-18.0,-73.0,-6318.0
-18.0,-72.9,-6892.0
-18.0,-72.8,-6474.0
-18.0,-72.7,-5716.0
-18.0,-72.6,-5061.0
-18.0,-72.5,-4350.0
-18.0,-72.4,-3663.0
-18.0,-72.3,-3475.0
-18.0,-72.2,-3503.0
-18.0,-72.1,-3132.0
-18.0,-72.0,-2480.0
-18.0,-71.9,-1752.0
-18.0,-71.8,-1087.0
-18.0,-71.7,-1078.0
-18.0,-71.6,-1108.0
-18.0,-71.5,-1049.0
-18.0,-71.4,-980.0
-18.0,-71.3,-872.0
-18.0,-71.2,-546.0
-18.0,-71.1,-247.0
-18.0,-71.0,-178.0
-18.0,-70.9,-13.0
-18.0,-70.8,510.0
-18.0,-70.7,246.0
-18.0,-70.6,232.0
-18.0,-70.5,325.0
-18.0,-70.4,552.0
-18.0,-70.3,760.0
-18.0,-70.2,710.0
-18.0,-70.1,1182.0
-18.0,-70.0,2068.0
-18.0,-69.9,3278.0
-18.0,-69.8,4088.0
-18.0,-69.7,4058.0
-18.0,-69.6,3837.0
-18.0,-69.5,4124.0
-18.0,-69.4,4390.0
-18.0,-69.3,4413.0
-18.0,-69.2,4468.0
-18.0,-69.1,5065.0
-18.0,-69.0,5101.0
-18.0,-68.9,4548.0
-18.0,-68.8,4214.0
-18.0,-68.7,4071.0
-18.0,-68.6,4036.0
-18.0,-68.5,4243.0
-18.0,-68.4,4179.0
-18.0,-68.3,4129.0
-18.0,-68.2,4275.0
-18.0,-68.1,3996.0
-18.0,-68.0,3940.0
-17.75,-82.0,-4494.0
-17.75,-81.9,-4484.0
-17.75,-81.8,-4443.0
-17.75,-81.7,-4528.0
-17.75,-81.6,-4609.0
-17.75,-81.5,-4424.0
-17.75,-81.4,-4323.0
-17.75,-81.3,-4239.0
-17.75,-81.2,-4242.0
-17.75,-81.1,-4405.0
-17.75,-81.0,-4402.0
-17.75,-80.9,-4433.0
-17.75,-80.8,-4583.0
-17.75,-80.7,-4598.0
-17.75,-80.6,-4569.0
-17.75,-80.5,-4255.0
-17.75,-80.4,-4104.0
-17.75,-80.3,-4105.0
-17.75,-80.2,-3791.0
-17.75,-80.1,-3843.0
-17.75,-80.0,-3684.0
-17.75,-79.9,-3802.0
-17.75,-79.8,-3644.0
-17.75,-79.7,-3390.0
-17.75,-79.6,-3380.0
-17.75,-79.5,-3211.0
-17.75,-79.4,-3135.0
-17.75,-79.3,-3148.0
-17.75,-79.2,-2996.0
-17.75,-79.1,-3135.0
-17.75,-79.0,-2822.0
-17.75,-78.9,-3079.0
-17.75,-78.8,-2973.0
-17.75,-78.7,-2866.0
-17.75,-78.6,-3111.0
-17.75,-78.5,-3098.0
-17.75,-78.4,-3218.0
-17.75,-78.3,-3441.0
-17.75,-78.2,-3413.0
-17.75,-78.1,-3498.0
-17.75,-78.0,-3708.0
-17.75,-77.9,-3876.0
-17.75,-77.8,-3870.0
-17.75,-77.7,-4045.0
-17.75,-77.6,-4053.0
-17.75,-77.5,-3896.0
-17.75,-77.4,-3936.0
-17.75,-77.3,-3890.0
-17.75,-77.2,-4001.0
-17.75,-77.1,-4039.0
-17.75,-77.0,-4084.0
-17.75,-76.9,-4217.0
-17.75,-76.8,-4333.0
-17.75,-76.7,-4266.0
-17.75,-76.6,-4188.0
-17.75,-76.5,-4533.0
-17.75,-76.4,-4584.0
-17.75,-76.3,-4312.0
-17.75,-76.2,-4317.0
-17.75,-76.1,-4606.0
-17.75,-76.0,-4387.0
-17.75,-75.9,-4197.0
-17.75,-75.8,-4491.0
-17.75,-75.7,-4341.0
-17.75,-75.6,-4291.0
-17.75,-75.5,-4414.0
-17.75,-75.4,-4263.0
-17.75,-75.3,-4294.0
-17.75,-75.2,-4142.0
-17.75,-75.1,-4269.0
-17.75,-75.0,-4365.0
-17.75,-74.9,-4394.0
-17.75,-74.8,-4727.0
-17.75,-74.7,-4504.0
-17.75,-74.6,-4502.0
-17.75,-74.5,-4536.0
-17.75,-74.4,-4488.0
-17.75,-74.3,-4305.0
-17.75,-74.2,-4465.0
-17.75,-74.1,-4408.0
-17.75,-74.0,-4663.0
-17.75,-73.9,-4859.0
-17.75,-73.8,-4852.0
-17.75,-73.7,-4803.0
-17.75,-73.6,-5039.0
-17.75,-73.5,-5321.0
-17.75,-73.4,-5947.0
-17.75,-73.3,-6692.0
-17.75,-73.2,-6877.0
-17.75,-73.1,-6671.0
-17.75,-73.0,-5666.0
-17.75,-72.9,-4786.0
-17.75,-72.8,-4225.0
-17.75,-72.7,-3951.0
-17.75,-72.6,-3440.0
-17.75,-72.5,-3219.0
-17.75,-72.4,-2518.0
-17.75,-72.3,-1965.0
-17.75,-72.2,-1914.0
-17.75,-72.1,-2072.0
-17.75,-72.0,-1616.0
-17.75,-71.9,-1005.0
-17.75,-71.8,-833.0
-17.75,-71.7,-732.0
-17.75,-71.6,-742.0
-17.75,-71.5,-564.0
-17.75,-71.4,-232.0
-17.75,-71.3,-29.0
-17.75,-71.2,164.0
-17.75,-71.1,1083.0
-17.75,-71.0,543.0
-17.75,-70.9,367.0
-17.75,-70.8,747.0
-17.75,-70.7,692.0
-17.75,-70.6,850.0
-17.75,-70.5,924.0
-17.75,-70.4,950.0
-17.75,-70.3,1339.0
-17.75,-70.2,1840.0
-17.75,-70.1,2389.0
-17.75,-70.0,2903.0
-17.75,-69.9,3774.0
-17.75,-69.8,4460.0
-17.75,-69.7,4132.0
-17.75,-69.6,4765.0
-17.75,-69.5,4710.0
-17.75,-69.4,4172.0
-17.75,-69.3,4128.0
-17.75,-69.2,4243.0
-17.75,-69.1,4396.0
-17.75,-69.0,4308.0
-17.75,-68.9,4117.0
-17.75,-68.8,4076.0
-17.75,-68.7,4113.0
-17.75,-68.6,4073.0
-17.75,-68.5,3982.0
-17.75,-68.4,3882.0
-17.75,-68.3,3915.0
-17.75,-68.2,4039.0
-17.75,-68.1,4088.0
-17.75,-68.0,3860.0
-17.5,-82.0,-4570.0
-17.5,-81.9,-4638.0
-17.5,-81.8,-4506.0
-17.5,-81.7,-4507.0
-17.5,-81.6,-4523.0
-17.5,-81.5,-4507.0
-17.5,-81.4,-4478.0
-17.5,-81.3,-4480.0
-17.5,-81.2,-4264.0
-17.5,-81.1,-4525.0
-17.5,-81.0,-4574.0
-17.5,-80.9,-4511.0
-17.5,-80.8,-4451.0
-17.5,-80.7,-4443.0
-17.5,-80.6,-4332.0
-17.5,-80.5,-4363.0
-17.5,-80.4,-4253.0
-17.5,-80.3,-4239.0
-17.5,-80.2,-4242.0
-17.5,-80.1,-4107.0
-17.5,-80.0,-3967.0
-17.5,-79.9,-4165.0
-17.5,-79.8,-3786.0
-17.5,-79.7,-3787.0
-17.5,-79.6,-3809.0
-17.5,-79.5,-3565.0
-17.5,-79.4,-3301.0
-17.5,-79.3,-3126.0
-17.5,-79.2,-3037.0
-17.5,-79.1,-2822.0
-17.5,-79.0,-3456.0
-17.5,-78.9,-3295.0
-17.5,-78.8,-3289.0
-17.5,-78.7,-3043.0
-17.5,-78.6,-3089.0
-17.5,-78.5,-2928.0
-17.5,-78.4,-2951.0
-17.5,-78.3,-3050.0
-17.5,-78.2,-2911.0
